"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 02 10:37:20 UTC 2026","Thu Apr 02 10:37:53 UTC 2026","32865","WebCatalogTest","FireFox","testcases.E2ETest","testcases.E2ETest","E2E_Test","E2E_Test",""
"broken","Thu Apr 02 10:39:23 UTC 2026","Thu Apr 02 10:40:26 UTC 2026","62877","WebCatalogTest","Chrome","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA01_testSubmitNewApp","SA01_testSubmitNewApp",""
"broken","Thu Apr 02 10:33:03 UTC 2026","Thu Apr 02 10:34:03 UTC 2026","60283","WebCatalogTest","Edge","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS01_testUpdateAccountName","AS01_testUpdateAccountName",""
"broken","Thu Apr 02 10:37:17 UTC 2026","Thu Apr 02 10:38:17 UTC 2026","60112","WebCatalogTest","Chrome","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS04_testUpdateAccountEmailWithoutChangingEmail","AS04_testUpdateAccountEmailWithoutChangingEmail",""
"skipped","Thu Apr 02 10:36:47 UTC 2026","Thu Apr 02 10:36:47 UTC 2026","113","WebCatalogTest","FireFox","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA05_testSubmitAppWithoutData","SA05_testSubmitAppWithoutData",""
"broken","Thu Apr 02 10:36:04 UTC 2026","Thu Apr 02 10:37:04 UTC 2026","60226","WebCatalogTest","Edge","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS04_testUpdateAccountEmailWithoutChangingEmail","AS04_testUpdateAccountEmailWithoutChangingEmail",""
"broken","Thu Apr 02 10:43:56 UTC 2026","Thu Apr 02 10:44:58 UTC 2026","62295","WebCatalogTest","Chrome","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA05_testSubmitAppWithoutData","SA05_testSubmitAppWithoutData",""
"broken","Thu Apr 02 10:45:01 UTC 2026","Thu Apr 02 10:46:09 UTC 2026","67742","WebCatalogTest","Chrome","testcases.E2ETest","testcases.E2ETest","E2E_Test","E2E_Test",""
"skipped","Thu Apr 02 10:34:31 UTC 2026","Thu Apr 02 10:34:31 UTC 2026","77","WebCatalogTest","FireFox","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS01_testUpdateAccountName","AS01_testUpdateAccountName",""
"broken","Thu Apr 02 10:34:03 UTC 2026","Thu Apr 02 10:35:04 UTC 2026","60294","WebCatalogTest","Edge","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS02_testUpdateAccountCountry","AS02_testUpdateAccountCountry",""
"skipped","Thu Apr 02 10:39:47 UTC 2026","Thu Apr 02 10:39:47 UTC 2026","94","WebCatalogTest","Edge","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA05_testSubmitAppWithoutData","SA05_testSubmitAppWithoutData",""
"broken","Thu Apr 02 10:37:04 UTC 2026","Thu Apr 02 10:38:04 UTC 2026","60112","WebCatalogTest","Edge","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS05_testDeleteAccount","AS05_testDeleteAccount",""
"passed","Thu Apr 02 10:30:21 UTC 2026","Thu Apr 02 10:31:23 UTC 2026","61657","WebCatalogTest","Chrome","testcases.SignInTest","testcases.SignInTest","SI02_submitEmptyEmail","SI02_submitEmptyEmail",""
"broken","Thu Apr 02 10:39:47 UTC 2026","Thu Apr 02 10:39:47 UTC 2026","0","WebCatalogTest","Edge","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","setUpPrecondition","setUpPrecondition",""
"broken","Thu Apr 02 10:36:47 UTC 2026","Thu Apr 02 10:36:47 UTC 2026","0","WebCatalogTest","FireFox","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","setUpPrecondition","setUpPrecondition",""
"broken","Thu Apr 02 10:34:31 UTC 2026","Thu Apr 02 10:34:31 UTC 2026","0","WebCatalogTest","FireFox","testcases.AccountSettingsTest","testcases.AccountSettingsTest","preCondition","preCondition",""
"skipped","Thu Apr 02 10:34:32 UTC 2026","Thu Apr 02 10:34:32 UTC 2026","114","WebCatalogTest","FireFox","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS05_testDeleteAccount","AS05_testDeleteAccount",""
"passed","Thu Apr 02 10:32:28 UTC 2026","Thu Apr 02 10:32:35 UTC 2026","6415","WebCatalogTest","Chrome","testcases.SignUpTest","testcases.SignUpTest","SU01_testSignUpWithValidEmail","SU01_testSignUpWithValidEmail",""
"passed","Thu Apr 02 10:31:34 UTC 2026","Thu Apr 02 10:32:36 UTC 2026","61460","WebCatalogTest","FireFox","testcases.SignInTest","testcases.SignInTest","SI03_testSignInWithInvalidFormatEmail","SI03_testSignInWithInvalidFormatEmail",""
"passed","Thu Apr 02 10:30:32 UTC 2026","Thu Apr 02 10:31:33 UTC 2026","61279","WebCatalogTest","FireFox","testcases.SignInTest","testcases.SignInTest","SI02_submitEmptyEmail","SI02_submitEmptyEmail",""
"passed","Thu Apr 02 10:30:32 UTC 2026","Thu Apr 02 10:31:34 UTC 2026","61926","WebCatalogTest","Edge","testcases.SignInTest","testcases.SignInTest","SI02_submitEmptyEmail","SI02_submitEmptyEmail",""
"broken","Thu Apr 02 10:36:17 UTC 2026","Thu Apr 02 10:37:17 UTC 2026","60128","WebCatalogTest","Chrome","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS03_testUpdateAccountEmail","AS03_testUpdateAccountEmail",""
"broken","Thu Apr 02 10:35:17 UTC 2026","Thu Apr 02 10:36:17 UTC 2026","60093","WebCatalogTest","Chrome","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS02_testUpdateAccountCountry","AS02_testUpdateAccountCountry",""
"passed","Thu Apr 02 10:33:10 UTC 2026","Thu Apr 02 10:33:16 UTC 2026","5763","WebCatalogTest","FireFox","testcases.SignUpTest","testcases.SignUpTest","SU01_testSignUpWithValidEmail","SU01_testSignUpWithValidEmail",""
"skipped","Thu Apr 02 10:36:47 UTC 2026","Thu Apr 02 10:36:47 UTC 2026","74","WebCatalogTest","FireFox","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA02_testSubmitMultipleApp","SA02_testSubmitMultipleApp",""
"broken","Thu Apr 02 10:34:17 UTC 2026","Thu Apr 02 10:35:17 UTC 2026","60188","WebCatalogTest","Chrome","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS01_testUpdateAccountName","AS01_testUpdateAccountName",""
"skipped","Thu Apr 02 10:34:32 UTC 2026","Thu Apr 02 10:34:32 UTC 2026","113","WebCatalogTest","FireFox","testcases.AccountSettingsTest","testcases.AccountSettingsTest","AS04_testUpdateAccountEmailWithoutChangingEmail","AS04_testUpdateAccountEmailWithoutChangingEmail",""
"broken","Thu Apr 02 10:35:10 UTC 2026","Thu Apr 02 10:36:13 UTC 2026","63080","WebCatalogTest","FireFox","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA01_testSubmitNewApp","SA01_testSubmitNewApp",""
"passed","Thu Apr 02 10:30:18 UTC 2026","Thu Apr 02 10:30:30 UTC 2026","12478","WebCatalogTest","FireFox","testcases.SignInTest","testcases.SignInTest","SI01_testSignInWithValidEmail","SI01_testSignInWithValidEmail",""
"skipped","Thu Apr 02 10:39:47 UTC 2026","Thu Apr 02 10:39:47 UTC 2026","90","WebCatalogTest","Edge","testcases.SubmitNewAppTest","testcases.SubmitNewAppTest","SA02_testSubmitMultipleApp","SA02_testSubmitMultipleApp",""
